WKT,Business Name,Industry Category,Corridor,Latitude,Longitude,Google Maps Link
"POINT (77.0781924 11.0585247)",Thangam Pazhamudir Solai,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0585247,77.0781924,https://www.google.com/maps/place/Thangam+Pazhamudir+Solai/data=!4m7!3m6!1s0x3ba85621ec0f830f:0xd0bf680bc11a21a4!8m2!3d11.0585247!4d77.0781924!16s%2Fg%2F11gd_wwh85!19sChIJD4MP7CFWqDsRpCEawQtov9A?authuser=0&hl=en&rclk=1
"POINT (77.0907304 11.0619457)",Chai N' Gupshup Express,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0619457,77.0907304,https://www.google.com/maps/place/Chai+N%27+Gupshup+Express/data=!4m7!3m6!1s0x3ba857489d412643:0x4dd27c602628d4bb!8m2!3d11.0619457!4d77.0907304!16s%2Fg%2F11y57klbw8!19sChIJQyZBnUhXqDsRu9QoJmB80k0?authuser=0&hl=en&rclk=1
"POINT (77.0201103 11.0266946)",Cold & Café,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0266946,77.0201103,https://www.google.com/maps/place/Cold+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3ba85700350b8b09:0xaf6d988941fe89e4!8m2!3d11.0266946!4d77.0201103!16s%2Fg%2F11yrn_x9hd!19sChIJCYsLNQBXqDsR5In-QYmYba8?authuser=0&hl=en&rclk=1
"POINT (77.0350215 11.0435323)",CHIMP Goli Soda,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0435323,77.0350215,https://www.google.com/maps/place/CHIMP+Goli+Soda/data=!4m7!3m6!1s0x3ba8578d07ed5141:0xa38b39ee6c586754!8m2!3d11.0435323!4d77.0350215!16s%2Fg%2F11nxs4ggrs!19sChIJQVHtB41XqDsRVGdYbO45i6M?authuser=0&hl=en&rclk=1
"POINT (77.0163662 11.0289835)",CREST FOODS,COIMBATORE,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0289835,77.0163662,https://www.google.com/maps/place/CREST+FOODS,COIMBATORE/data=!4m7!3m6!1s0x3ba8599a5cf346ff:0x9e715d6780bd974c!8m2!3d11.0289835!4d77.0163662!16s%2Fg%2F11wnc75jz3!19sChIJ_0bzXJpZqDsRTJe9gGddcZ4?authuser=0&hl=en&rclk=1
"POINT (77.0510195 11.0560846)",VETRI STORES & PATANJALI STORES SUPER MARKET,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0560846,77.0510195,https://www.google.com/maps/place/VETRI+STORES+%26+PATANJALI+STORES+SUPER+MARKET/data=!4m7!3m6!1s0x3ba857d3feec6c43:0x55b7bbfab159a292!8m2!3d11.0560846!4d77.0510195!16s%2Fg%2F11c1n18csc!19sChIJQ2zs_tNXqDsRkqJZsfq7t1U?authuser=0&hl=en&rclk=1
"POINT (77.048347 11.0400622)",Arcadia Hotel Supplies,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0400622,77.048347,https://www.google.com/maps/place/Arcadia+Hotel+Supplies/data=!4m7!3m6!1s0x3ba857cf1c0115b1:0xc7313a164f728dd3!8m2!3d11.0400622!4d77.048347!16s%2Fg%2F11tf54_x20!19sChIJsRUBHM9XqDsR041yTxY6Mcc?authuser=0&hl=en&rclk=1
"POINT (77.0570019 11.0558378)",Aruvi Naturals,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0558378,77.0570019,https://www.google.com/maps/place/Aruvi+Naturals/data=!4m7!3m6!1s0x3ba8f996e0f1db93:0xc7a6c617eb6e1c11!8m2!3d11.0558378!4d77.0570019!16s%2Fg%2F11shh7sdgr!19sChIJk9vx4Jb5qDsRERxu6xfGpsc?authuser=0&hl=en&rclk=1
"POINT (77.0379475 11.0399077)",Indus Electronics India (P) Ltd,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0399077,77.0379475,https://www.google.com/maps/place/Indus+Electronics+India+%28P%29+Ltd/data=!4m7!3m6!1s0x3ba857c0bcdf6d11:0xcb256ee067718c12!8m2!3d11.0399077!4d77.0379475!16s%2Fg%2F1tlmls2j!19sChIJEW3fvMBXqDsREoxxZ-BuJcs?authuser=0&hl=en&rclk=1
"POINT (77.103765 11.0698005)",Inventor Automation,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0698005,77.103765,https://www.google.com/maps/place/Inventor+Automation/data=!4m7!3m6!1s0x3ba8582dc43aa3f7:0xfb338fcbcec0135a!8m2!3d11.0698005!4d77.103765!16s%2Fg%2F11b5vs08yq!19sChIJ96M6xC1YqDsRWhPAzsuPM_s?authuser=0&hl=en&rclk=1
