WKT,Business Name,Business Type,Corridor,Latitude,Longitude,Google Maps Link,Industrial Sector
"POINT (77.2699326 11.0092963)",TEAM YOUNG INDIANS AUTO INDUSTRIES,Auto parts store,Sulur – Palladam Industrial Corridor,11.0092963,77.2699326,https://www.google.com/maps/place/TEAM+YOUNG+INDIANS+AUTO+INDUSTRIES/data=!4m7!3m6!1s0x3ba9a946a7a10b73:0x90f4af883ac2a1da!8m2!3d11.0092963!4d77.2699326!16s%2Fg%2F11g231g291!19sChIJcwuhp0apqTsR2qHCOoiv9JA?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1865598 11.01553)",Automotive Enhancement,Auto parts store,Sulur – Palladam Industrial Corridor,11.01553,77.1865598,https://www.google.com/maps/place/Automotive+Enhancement/data=!4m7!3m6!1s0x3ba854d740efda1f:0x468760bd816ce1d!8m2!3d11.01553!4d77.1865598!16s%2Fg%2F11ckw28lb9!19sChIJH9rvQNdUqDsRHc4W2At2aAQ?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1877375 11.0153769)",Sri Lakshmi tyres & retreading company,Tire shop,Sulur – Palladam Industrial Corridor,11.0153769,77.1877375,https://www.google.com/maps/place/Sri+Lakshmi+tyres+%26+retreading+company/data=!4m7!3m6!1s0x3ba85544c04f7ed5:0xf1120afdd032469a!8m2!3d11.0153769!4d77.1877375!16s%2Fg%2F11w7cdx_7t!19sChIJ1X5PwERVqDsRmkYy0P0KEvE?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1446704 10.9910572)",Axto Accessories - OLA EV Accessories Store in Coimbatore,Manufacturer,Sulur – Palladam Industrial Corridor,10.9910572,77.1446704,https://www.google.com/maps/place/Axto+Accessories+-+OLA+EV+Accessories+Store+in+Coimbatore/data=!4m7!3m6!1s0x3ba855000159c0bf:0xac30c0eb3e50bccf!8m2!3d10.9910572!4d77.1446704!16s%2Fg%2F11x7crbgtc!19sChIJv8BZAQBVqDsRz7xQPuvAMKw?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.0824794 10.9980116)",NEXTLY CAR CARE EQUIPMENTS AND CHEMICALS,Manufacturer,Sulur – Palladam Industrial Corridor,10.9980116,77.0824794,https://www.google.com/maps/place/NEXTLY+CAR+CARE+EQUIPMENTS+AND+CHEMICALS/data=!4m7!3m6!1s0x3ba8578ab62dcdd5:0xa6649199c72e66bd!8m2!3d10.9980116!4d77.0824794!16s%2Fg%2F11rz2cp94l!19sChIJ1c0ttopXqDsRvWYux5mRZKY?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2240808 11.0024369)",Mohan breeding farm,Poultry farm,Sulur – Palladam Industrial Corridor,11.0024369,77.2240808,https://www.google.com/maps/place/Mohan+breeding+farm/data=!4m7!3m6!1s0x3ba9ab6ca5cc5feb:0xf974a726134b9473!8m2!3d11.0024369!4d77.2240808!16s%2Fg%2F11cs6gt17g!19sChIJ61_MpWyrqTsRc5RLEyandPk?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2925372 10.9953935)",AGM Auto consulting,Motorcycle shop,Sulur – Palladam Industrial Corridor,10.9953935,77.2925372,https://www.google.com/maps/place/AGM+Auto+consulting/data=!4m7!3m6!1s0x3ba9a908589501c7:0xc390a6058883b108!8m2!3d10.9953935!4d77.2925372!16s%2Fg%2F11kfw81nnb!19sChIJxwGVWAipqTsRCLGDiAWmkMM?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1444548 11.0311099)",Propel Industries Private Limited,Manufacturer,Sulur – Palladam Industrial Corridor,11.0311099,77.1444548,https://www.google.com/maps/place/Propel+Industries+Private+Limited/data=!4m7!3m6!1s0x3ba8567978625d93:0x1e1cd09805fb281a!8m2!3d11.0311099!4d77.1444548!16s%2Fg%2F11b60rrs4f!19sChIJk11ieHlWqDsRGij7BZjQHB4?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2793225 11.0012905)",THIRUKUMARAN AUTO CONSULTING,Wholesaler,Sulur – Palladam Industrial Corridor,11.0012905,77.2793225,https://www.google.com/maps/place/THIRUKUMARAN+AUTO+CONSULTING/data=!4m7!3m6!1s0x3ba9ab0051e1f4f3:0xb3aafc8248af4d60!8m2!3d11.0012905!4d77.2793225!16s%2Fg%2F11wx8l97vd!19sChIJ8_ThUQCrqTsRYE2vSIL8qrM?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2787796 10.9808867)",SRI VANITHA AUTO CONSULTING,Consultant,Sulur – Palladam Industrial Corridor,10.9808867,77.2787796,https://www.google.com/maps/place/SRI+VANITHA+AUTO+CONSULTING/data=!4m7!3m6!1s0x3ba9ad00213b509b:0x923b947e028324cf!8m2!3d10.9808867!4d77.2787796!16s%2Fg%2F11y2mct2rf!19sChIJm1A7IQCtqTsRzySDAn6UO5I?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.1398528 11.0273458)",SHARADHA KRUPA COLD STORAGE,Warehouse,Sulur – Palladam Industrial Corridor,11.0273458,77.1398528,https://www.google.com/maps/place/SHARADHA+KRUPA+COLD+STORAGE/data=!4m7!3m6!1s0x3ba8550075244e5b:0xeade5f540f3dfbcf!8m2!3d11.0273458!4d77.1398528!16s%2Fg%2F11n3n0xt60!19sChIJW04kdQBVqDsRz_s9D1Rf3uo?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1399194 11.0268388)",Tnsamb Agri cold storage,Cold storage facility,Sulur – Palladam Industrial Corridor,11.0268388,77.1399194,https://www.google.com/maps/place/Tnsamb+Agri+cold+storage/data=!4m7!3m6!1s0x3ba855f30efb4f81:0x1b54f4785c6bbde1!8m2!3d11.0268388!4d77.1399194!16s%2Fg%2F11h4c9vn68!19sChIJgU_7DvNVqDsR4b1rXHj0VBs?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1297771 11.0272524)",Sri Surabhi Cold Press Oil,Store,Sulur – Palladam Industrial Corridor,11.0272524,77.1297771,https://www.google.com/maps/place/Sri+Surabhi+Cold+Press+Oil/data=!4m7!3m6!1s0x3ba855c928931863:0xbd9fd8db4bd3185!8m2!3d11.0272524!4d77.1297771!16s%2Fg%2F11rf05flfr!19sChIJYxiTKMlVqDsRhTG9tI392Qs?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2334426 10.9764407)",Coldman India Pvt Ltd, Coimbatore,Warehouse store,Sulur – Palladam Industrial Corridor,10.9764407,77.2334426,https://www.google.com/maps/place/Coldman+India+Pvt+Ltd,+Coimbatore/data=!4m7!3m6!1s0x3ba9adcbf9d9e581:0x69df5ffa361c3444!8m2!3d10.9764407!4d77.2334426!16s%2Fg%2F11rz9btcyc!19sChIJgeXZ-cutqTsRRDQcNvpf32k?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1557599 11.0274536)",kings bakes,General store,Sulur – Palladam Industrial Corridor,11.0274536,77.1557599,https://www.google.com/maps/place/kings+bakes/data=!4m7!3m6!1s0x3ba85592f64b7d53:0x43c8771d6f88ba25!8m2!3d11.0274536!4d77.1557599!16s%2Fg%2F11fpp5q0hv!19sChIJU31L9pJVqDsRJbqIbx13yEM?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.1434281 11.026878)",Jeyam electro tech,Electronics Company,Sulur – Palladam Industrial Corridor,11.026878,77.1434281,https://www.google.com/maps/place/Jeyam+electro+tech/data=!4m7!3m6!1s0x3ba85516c32cf1af:0x761f9c4f071eebce!8m2!3d11.026878!4d77.1434281!16s%2Fg%2F11h_trk9sf!19sChIJr_EswxZVqDsRzuseB0-cH3Y?authuser=0&hl=en&rclk=1,Electronics Manufacturing
"POINT (77.100861 11.0098382)",Essr electronic jacquard manufacturing company,Manufacturer,Sulur – Palladam Industrial Corridor,11.0098382,77.100861,https://www.google.com/maps/place/Essr+electronic+jacquard+manufacturing+company/data=!4m7!3m6!1s0x3ba857b356100cbf:0xb9ad24db2a6af733!8m2!3d11.0098382!4d77.100861!16s%2Fg%2F11rvctg4fd!19sChIJvwwQVrNXqDsRM_dqKtskrbk?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.1214132 11.0252266)",RAMPRIYA ENTERPRISES,Electronic parts supplier,Sulur – Palladam Industrial Corridor,11.0252266,77.1214132,https://www.google.com/maps/place/RAMPRIYA+ENTERPRISES/data=!4m7!3m6!1s0x3ba8556ace1641eb:0x688c0e57176c1dd4!8m2!3d11.0252266!4d77.1214132!16s%2Fg%2F11j9j_q5_h!19sChIJ60EWzmpVqDsR1B1sF1cOjGg?authuser=0&hl=en&rclk=1,Electronics Manufacturing
"POINT (77.083397 11.0095041)",MACSOFT ELECTRONIC CONTROLS (I) PVT LTD,Electronics manufacturer,Sulur – Palladam Industrial Corridor,11.0095041,77.083397,https://www.google.com/maps/place/MACSOFT+ELECTRONIC+CONTROLS+%28I%29+PVT+LTD/data=!4m7!3m6!1s0x3ba8570ab596015b:0xa46c85407822f4c3!8m2!3d11.0095041!4d77.083397!16s%2Fg%2F11csb15pnj!19sChIJWwGWtQpXqDsRw_QieECFbKQ?authuser=0&hl=en&rclk=1,Electronics Manufacturing
"POINT (77.2541981 10.9917806)",V.G. Works's,Electronics manufacturer,Sulur – Palladam Industrial Corridor,10.9917806,77.2541981,https://www.google.com/maps/place/V.G.+Works%27s/data=!4m7!3m6!1s0x3ba9ab88c1c1f82d:0x5b330740ad342095!8m2!3d10.9917806!4d77.2541981!16s%2Fg%2F11c1vkbs4t!19sChIJLfjBwYirqTsRlSA0rUAHM1s?authuser=0&hl=en&rclk=1,Electronics Manufacturing
"POINT (77.2825393 10.9862884)",Annai Electricals and Hardwares | Plumbing | Electricals | Hardware and Tools Shop | Affordable Price(அன்னை ஹார்டுவேர்ஸ்),Hardware store,Sulur – Palladam Industrial Corridor,10.9862884,77.2825393,https://www.google.com/maps/place/Annai+Electricals+and+Hardwares+%7C+Plumbing+%7C+Electricals+%7C+Hardware+and+Tools+Shop+%7C+Affordable+Price%28%E0%AE%85%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88+%E0%AE%B9%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%B5%E0%AF%87%E0%AE%B0%E0%AF%8D%E0%AE%B8%E0%AF%8D%29/data=!4m7!3m6!1s0x3ba9abd7e5d2a3f3:0x6db6bd6a2d22d969!8m2!3d10.9862884!4d77.2825393!16s%2Fg%2F11ljsfxg8p!19sChIJ86PS5derqTsRadkiLWq9tm0?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.1797142 11.0209519)",Kaaliha engineering,Machine workshop,Sulur – Palladam Industrial Corridor,11.0209519,77.1797142,https://www.google.com/maps/place/Kaaliha+engineering/data=!4m7!3m6!1s0x3ba855da18d931d3:0x48d56c3b8c24beb5!8m2!3d11.0209519!4d77.1797142!16s%2Fg%2F11n0wxc2qb!19sChIJ0zHZGNpVqDsRtb4kjDts1Ug?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2683061 10.9945488)",Valiant Textile Solution,Sewing machine store,Sulur – Palladam Industrial Corridor,10.9945488,77.2683061,https://www.google.com/maps/place/Valiant+Textile+Solution/data=!4m7!3m6!1s0x3ba9ab14044bae6b:0x1685cba826030a83!8m2!3d10.9945488!4d77.2683061!16s%2Fg%2F11j23pd1zg!19sChIJa65LBBSrqTsRgwoDJqjLhRY?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2150828 10.9681959)",sulfiq engineers,Mechanical engineer,Sulur – Palladam Industrial Corridor,10.9681959,77.2150828,https://www.google.com/maps/place/sulfiq+engineers/data=!4m7!3m6!1s0x3ba9ad80e121bc69:0x61be76b31f3bf97e!8m2!3d10.9681959!4d77.2150828!16s%2Fg%2F11jk2q42tf!19sChIJabwh4YCtqTsRfvk7H7N2vmE?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.1157565 11.0235782)",Sivasakthi Foods,Food Processing Company,Sulur – Palladam Industrial Corridor,11.0235782,77.1157565,https://www.google.com/maps/place/Sivasakthi+Foods/data=!4m7!3m6!1s0x3ba855cd0ce721e1:0xc945c5d79daf1b6f!8m2!3d11.0235782!4d77.1157565!16s%2Fg%2F1ptw0rdv4!19sChIJ4SHnDM1VqDsRbxuvndfFRck?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.167626 11.0360756)",Genuine Foods and Equipments,Food processing equipment,Sulur – Palladam Industrial Corridor,11.0360756,77.167626,https://www.google.com/maps/place/Genuine+Foods+and+Equipments/data=!4m7!3m6!1s0x221ceb7e01766c69:0xe5efd601b438f3c9!8m2!3d11.0360756!4d77.167626!16s%2Fg%2F11w_cth_3y!19sChIJaWx2AX7rHCIRyfM4tAHW7-U?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.1664211 10.965162)",Avalon Cosmetics Pvt Ltd,Food Processing Company,Sulur – Palladam Industrial Corridor,10.965162,77.1664211,https://www.google.com/maps/place/Avalon+Cosmetics+Pvt+Ltd/data=!4m7!3m6!1s0x3ba85368cfbc04cd:0x787391525fa37cf9!8m2!3d10.965162!4d77.1664211!16s%2Fg%2F1pp2vj65b!19sChIJzQS8z2hTqDsR-XyjX1KRc3g?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2134178 11.0037376)",Fluid Jet Technologies,Manufacturer,Sulur – Palladam Industrial Corridor,11.0037376,77.2134178,https://www.google.com/maps/place/Fluid+Jet+Technologies/data=!4m7!3m6!1s0x3ba9ab00487eabb9:0x738c21ff429a0986!8m2!3d11.0037376!4d77.2134178!16s%2Fg%2F11xs8bz86d!19sChIJuat-SACrqTsRhgmaQv8hjHM?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.1961413 10.9547462)",Sirusti Traders,Food Processing Company,Sulur – Palladam Industrial Corridor,10.9547462,77.1961413,https://www.google.com/maps/place/Sirusti+Traders/data=!4m7!3m6!1s0x3ba9ad47db7dba0b:0x308fefab69d13828!8m2!3d10.9547462!4d77.1961413!16s%2Fg%2F11l2llk6wc!19sChIJC7p920etqTsRKDjRaavvjzA?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2783563 10.9595307)",Sivasakthi poultry services,Poultry farm,Sulur – Palladam Industrial Corridor,10.9595307,77.2783563,https://www.google.com/maps/place/Sivasakthi+poultry+services/data=!4m7!3m6!1s0x3ba9ac22670edf9b:0x109e5952c64d3d58!8m2!3d10.9595307!4d77.2783563!16s%2Fg%2F11cs6bqdnm!19sChIJm98OZyKsqTsRWD1NxlJZnhA?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.1961011 11.0123954)",Germen Bakery,Bakery and Cake Shop,Sulur – Palladam Industrial Corridor,11.0123954,77.1961011,https://www.google.com/maps/place/Germen+Bakery/data=!4m7!3m6!1s0x3ba9ab7a7f2479cf:0xb9ddb255713e4e49!8m2!3d11.0123954!4d77.1961011!16s%2Fg%2F11j7k8ss65!19sChIJz3kkf3qrqTsRSU4-cVWy3bk?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.1962447 10.9662927)",ABT Dairy Plant,Dairy store,Sulur – Palladam Industrial Corridor,10.9662927,77.1962447,https://www.google.com/maps/place/ABT+Dairy+Plant/data=!4m7!3m6!1s0x3ba9acb2e61906c5:0x3f63798814367211!8m2!3d10.9662927!4d77.1962447!16s%2Fg%2F12hlwwlm5!19sChIJxQYZ5rKsqTsREXI2FIh5Yz8?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.285175 10.9955659)",Kutty wholesale seafoods,Seafood wholesaler,Sulur – Palladam Industrial Corridor,10.9955659,77.285175,https://www.google.com/maps/place/Kutty+wholesale+seafoods/data=!4m7!3m6!1s0x3ba9a91a586f6f45:0x8e7b25b7f36e3d76!8m2!3d10.9955659!4d77.285175!16s%2Fg%2F11vyyrr1sj!19sChIJRW9vWBqpqTsRdj1u87cle44?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2747165 10.9979472)",Shanthi Fortune (India) Pvt Ltd.,Poultry farm,Sulur – Palladam Industrial Corridor,10.9979472,77.2747165,https://www.google.com/maps/place/Shanthi+Fortune+%28India%29+Pvt+Ltd./data=!4m7!3m6!1s0x3ba9abef60eae189:0x837a55ce72d5610!8m2!3d10.9979472!4d77.2747165!16s%2Fg%2F11fy4npn15!19sChIJieHqYO-rqTsREFYt51ylNwg?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2285423 10.98688)",Life Care Logistic Pvt Ltd, Coimbatore,Warehouse,Sulur – Palladam Industrial Corridor,10.98688,77.2285423,https://www.google.com/maps/place/Life+Care+Logistic+Pvt+Ltd,+Coimbatore/data=!4m7!3m6!1s0x3ba9ab64aef6bf53:0xd54109a2ca2361bb!8m2!3d10.98688!4d77.2285423!16s%2Fg%2F11f4ndxw0p!19sChIJU7_2rmSrqTsRu2EjyqIJQdU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2349663 10.9761498)",Reliance Retail logistics,Warehouse,Sulur – Palladam Industrial Corridor,10.9761498,77.2349663,https://www.google.com/maps/place/Reliance+Retail+logistics/data=!4m7!3m6!1s0x3ba9ad3042f0da23:0xc4410354539ca43f!8m2!3d10.9761498!4d77.2349663!16s%2Fg%2F11n8llzwmk!19sChIJI9rwQjCtqTsRP6ScU1QDQcQ?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1209086 10.9586629)",IndoSpace SKLL Logistics Park Coimbatore,Warehouse,Sulur – Palladam Industrial Corridor,10.9586629,77.1209086,https://www.google.com/maps/place/IndoSpace+SKLL+Logistics+Park+Coimbatore/data=!4m7!3m6!1s0x3ba8533c72cec13b:0x17bc0eba6029f4b9!8m2!3d10.9586629!4d77.1209086!16s%2Fg%2F11mvnlh7v3!19sChIJO8HOcjxTqDsRufQpYLoOvBc?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.184165 10.958603)",Raaj Warehousing & Logistic Park RW003,RW004,Warehouse,Sulur – Palladam Industrial Corridor,10.958603,77.184165,https://www.google.com/maps/place/Raaj+Warehousing+%26+Logistic+Park+RW003,RW004/data=!4m7!3m6!1s0x3ba853afe2da6621:0xc68980d0feec1d5f!8m2!3d10.958603!4d77.184165!16s%2Fg%2F11kk7k45gq!19sChIJIWba4q9TqDsRXx3s_tCAicY?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2092932 11.007394)",RANGARAJ TRANSPORT,Transportation service,Sulur – Palladam Industrial Corridor,11.007394,77.2092932,https://www.google.com/maps/place/RANGARAJ+TRANSPORT/data=!4m7!3m6!1s0x3ba9abea5921f881:0xc1dc1dc760a04edf!8m2!3d11.007394!4d77.2092932!16s%2Fg%2F11sn_6lbjx!19sChIJgfghWeqrqTsR306gYMcd3ME?authuser=0&hl=en&rclk=1,Logistics / Transportation
"POINT (77.1848873 11.0168838)",Sri Amman Transport,Transportation service,Sulur – Palladam Industrial Corridor,11.0168838,77.1848873,https://www.google.com/maps/place/Sri+Amman+Transport/data=!4m7!3m6!1s0x3ba855000796674d:0xbec92a77c7a4efed!8m2!3d11.0168838!4d77.1848873!16s%2Fg%2F11ypll3kdf!19sChIJTWeWBwBVqDsR7e-kx3cqyb4?authuser=0&hl=en&rclk=1,Logistics / Transportation
"POINT (77.1856549 11.0228228)",SRI RAHUL TRANSPORT,Transportation service,Sulur – Palladam Industrial Corridor,11.0228228,77.1856549,https://www.google.com/maps/place/SRI+RAHUL+TRANSPORT/data=!4m7!3m6!1s0x3ba855007cce2ce5:0x1c92ae2658de219c!8m2!3d11.0228228!4d77.1856549!16s%2Fg%2F11yv64f0gb!19sChIJ5SzOfABVqDsRnCHeWCaukhw?authuser=0&hl=en&rclk=1,Logistics / Transportation
"POINT (77.1650183 11.0366206)",Dheeran Transport,Transportation service,Sulur – Palladam Industrial Corridor,11.0366206,77.1650183,https://www.google.com/maps/place/Dheeran+Transport/data=!4m7!3m6!1s0x3ba85542bef7acab:0xd2554d2c21791241!8m2!3d11.0366206!4d77.1650183!16s%2Fg%2F11n8w9200l!19sChIJq6z3vkJVqDsRQRJ5ISxNVdI?authuser=0&hl=en&rclk=1,Logistics / Transportation
"POINT (77.1796464 11.0195576)",Elamayil transport,Transportation service,Sulur – Palladam Industrial Corridor,11.0195576,77.1796464,https://www.google.com/maps/place/Elamayil+transport/data=!4m7!3m6!1s0x3ba855001c52912f:0x998744c573895531!8m2!3d11.0195576!4d77.1796464!16s%2Fg%2F11zhxp6d3p!19sChIJL5FSHABVqDsRMVWJc8VEh5k?authuser=0&hl=en&rclk=1,Logistics / Transportation
