WKT,Business Name,Business Type,Corridor,Latitude,Longitude,Google Maps Link,Industrial Sector
"POINT (77.2374264 10.9912513)",Evergreen Textile,Textile mill,Sulur – Palladam Industrial Corridor,10.9912513,77.2374264,https://www.google.com/maps/place/Evergreen+Textile/data=!4m7!3m6!1s0x3ba9ab5aeaed5041:0x1c8947d23001f06b!8m2!3d10.9912513!4d77.2374264!16s%2Fg%2F11fjz_vtq_!19sChIJQVDt6lqrqTsRa_ABMNJHiRw?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.2779718 10.999191)",Iswarya knit fabs,Garment Exporter,Sulur – Palladam Industrial Corridor,10.999191,77.2779718,https://www.google.com/maps/place/Iswarya+knit+fabs/data=!4m7!3m6!1s0x3ba9ab02b53f3a6b:0x635ab16a946240b3!8m2!3d10.999191!4d77.2779718!16s%2Fg%2F11hdsqj0g5!19sChIJazo_tQKrqTsRs0BilGqxWmM?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.2564961 10.9988359)",Century Textile Chemicals,Corporate office,Sulur – Palladam Industrial Corridor,10.9988359,77.2564961,https://www.google.com/maps/place/Century+Textile+Chemicals/data=!4m7!3m6!1s0x3ba9abfcd6ccb31d:0x280511f8a3b51d8b!8m2!3d10.9988359!4d77.2564961!16s%2Fg%2F11s7z8hd9q!19sChIJHbPM1vyrqTsRix21o_gRBSg?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2691605 10.9940701)",Sai Kirubaa Textiles,Textile Exporter,Sulur – Palladam Industrial Corridor,10.9940701,77.2691605,https://www.google.com/maps/place/Sai+Kirubaa+Textiles/data=!4m7!3m6!1s0x3ba9abef7f5d3687:0x7142926e81137a91!8m2!3d10.9940701!4d77.2691605!16s%2Fg%2F1thp_4gf!19sChIJhzZdf--rqTsRkXoTgW6SQnE?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.300774 10.994987)",MANTHRAGIRI TEXTILES,Corporate office,Sulur – Palladam Industrial Corridor,10.994987,77.300774,https://www.google.com/maps/place/MANTHRAGIRI+TEXTILES/data=!4m7!3m6!1s0x3ba9a9457fe11ba5:0x93c10822127a8b49!8m2!3d10.994987!4d77.300774!16s%2Fg%2F11g6ygqbyx!19sChIJpRvhf0WpqTsRSYt6EiIIwZM?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2057054 11.0402595)",Ranganathar textiles kanal kadu,Clothing store,Sulur – Palladam Industrial Corridor,11.0402595,77.2057054,https://www.google.com/maps/place/Ranganathar+textiles+kanal+kadu/data=!4m7!3m6!1s0x3ba9aac5a9d9c68f:0x336f50ecec154ffb!8m2!3d11.0402595!4d77.2057054!16s%2Fg%2F11gdgxg1cz!19sChIJj8bZqcWqqTsR-08V7OxQbzM?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.285175 10.9955658)",Dorai Fashion Wear,Clothing store,Sulur – Palladam Industrial Corridor,10.9955658,77.285175,https://www.google.com/maps/place/Dorai+Fashion+Wear/data=!4m7!3m6!1s0x3ba9abe2bfb22199:0x15d85787ef00426f!8m2!3d10.9955658!4d77.285175!16s%2Fg%2F11fplgyfw_!19sChIJmSGyv-KrqTsRb0IA74dX2BU?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.2487227 11.0109446)",Concord Tex Polymers Pvt Ltd,Chemical wholesaler,Sulur – Palladam Industrial Corridor,11.0109446,77.2487227,https://www.google.com/maps/place/Concord+Tex+Polymers+Pvt+Ltd/data=!4m7!3m6!1s0x3ba9abe9dacf7695:0x577e411d6b8da59f!8m2!3d11.0109446!4d77.2487227!16s%2Fg%2F11h8br9zgq!19sChIJlXbP2umrqTsRn6WNax1Bflc?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2467505 11.0112222)",Theni Guru Krishna Textile Mills (P) Ltd,Garment Exporter,Sulur – Palladam Industrial Corridor,11.0112222,77.2467505,https://www.google.com/maps/place/Theni+Guru+Krishna+Textile+Mills+%28P%29+Ltd/data=!4m7!3m6!1s0x3ba9aba4ce5f1955:0xed21378b541455dd!8m2!3d11.0112222!4d77.2467505!16s%2Fg%2F11qqwp14b0!19sChIJVRlfzqSrqTsR3VUUVIs3Ie0?authuser=0&hl=en&rclk=1,Textile / Garments
"POINT (77.1250944 11.02303)",A1 GODOWN,Warehouse,Sulur – Palladam Industrial Corridor,11.02303,77.1250944,https://www.google.com/maps/place/A1+GODOWN/data=!4m7!3m6!1s0x3ba855045feaa3a5:0x759c9860ebc42963!8m2!3d11.02303!4d77.1250944!16s%2Fg%2F11kv_n3334!19sChIJpaPqXwRVqDsRYynE62CYnHU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1367941 11.0310658)",Delivery Sulur hub,Warehouse,Sulur – Palladam Industrial Corridor,11.0310658,77.1367941,https://www.google.com/maps/place/Delivery+Sulur+hub/data=!4m7!3m6!1s0x3ba8550070ed3697:0x554215d2ab5a3a63!8m2!3d11.0310658!4d77.1367941!16s%2Fg%2F11xl6ys_xl!19sChIJlzbtcABVqDsRYzpaq9IVQlU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.129519 11.025906)",Bougenvilla,Warehouse,Sulur – Palladam Industrial Corridor,11.025906,77.129519,https://www.google.com/maps/place/Bougenvilla/data=!4m7!3m6!1s0x3ba85582c8e67b5b:0x6e5df5fb09154a47!8m2!3d11.025906!4d77.129519!16s%2Fg%2F11sx1yw80g!19sChIJW3vmyIJVqDsRR0oVCfv1XW4?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2726188 10.9958851)",Sri vedha tex,Warehouse,Sulur – Palladam Industrial Corridor,10.9958851,77.2726188,https://www.google.com/maps/place/Sri+vedha+tex/data=!4m7!3m6!1s0x3ba9ab02989bc2d9:0xc809aec3ca0ee62e!8m2!3d10.9958851!4d77.2726188!16s%2Fg%2F11llbgflwf!19sChIJ2cKbmAKrqTsRLuYOysOuCcg?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1281244 11.0285867)",Sulur sait,Warehouse,Sulur – Palladam Industrial Corridor,11.0285867,77.1281244,https://www.google.com/maps/place/Sulur+sait/data=!4m7!3m6!1s0x3ba855006edd1733:0xf435a684611e02b9!8m2!3d11.0285867!4d77.1281244!16s%2Fg%2F11mcksdp9l!19sChIJMxfdbgBVqDsRuQIeYYSmNfQ?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1770753 11.022704)",PRIYA CEMENT GODOWN KARANAMPETTAI,Warehouse,Sulur – Palladam Industrial Corridor,11.022704,77.1770753,https://www.google.com/maps/place/PRIYA+CEMENT+GODOWN+KARANAMPETTAI/data=!4m7!3m6!1s0x3ba855007c08a29f:0x53bb347dcead5de4!8m2!3d11.022704!4d77.1770753!16s%2Fg%2F11vpvykyy7!19sChIJn6IIfABVqDsR5F2tzn00u1M?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.3000047 11.0010739)",LRM WAREHOUSE,Warehouse,Sulur – Palladam Industrial Corridor,11.0010739,77.3000047,https://www.google.com/maps/place/LRM+WAREHOUSE/data=!4m7!3m6!1s0x3ba9a94365711b83:0xf4d38bdbe1d5a168!8m2!3d11.0010739!4d77.3000047!16s%2Fg%2F11bttln02b!19sChIJgxtxZUOpqTsRaKHV4duL0_Q?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2433013 10.9779864)",DARLING WAREHOUSE PALLADAM,Warehouse,Sulur – Palladam Industrial Corridor,10.9779864,77.2433013,https://www.google.com/maps/place/DARLING+WAREHOUSE+PALLADAM/data=!4m7!3m6!1s0x3ba9ad00086fd361:0x335e0fc218b7d207!8m2!3d10.9779864!4d77.2433013!16s%2Fg%2F11yp5yk5w3!19sChIJYdNvCACtqTsRB9K3GMIPXjM?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1660933 11.0398722)",Swastika Warehouse,Warehouse,Sulur – Palladam Industrial Corridor,11.0398722,77.1660933,https://www.google.com/maps/place/Swastika+Warehouse/data=!4m7!3m6!1s0x3ba855001a4f0a71:0x891b5c1174ee007f!8m2!3d11.0398722!4d77.1660933!16s%2Fg%2F11y5gmygzv!19sChIJcQpPGgBVqDsRfwDudBFcG4k?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1648185 10.9775836)",MOHITA Godown/warehouse,Warehouse,Sulur – Palladam Industrial Corridor,10.9775836,77.1648185,https://www.google.com/maps/place/MOHITA+Godown%2Fwarehouse/data=!4m7!3m6!1s0x3ba85300207df721:0x73e38cb4f1399a75!8m2!3d10.9775836!4d77.1648185!16s%2Fg%2F11yfbg7n1j!19sChIJIfd9IABTqDsRdZo58bSM43M?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2347541 10.9763433)",Ajio warehouse,Warehouse,Sulur – Palladam Industrial Corridor,10.9763433,77.2347541,https://www.google.com/maps/place/Ajio+warehouse/data=!4m7!3m6!1s0x3ba9ad3c14614e15:0x8f1aedcef841f9a7!8m2!3d10.9763433!4d77.2347541!16s%2Fg%2F11r2gk8fg8!19sChIJFU5hFDytqTsRp_lB-M7tGo8?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1359856 11.0053226)",SS Warehouse,Warehouse,Sulur – Palladam Industrial Corridor,11.0053226,77.1359856,https://www.google.com/maps/place/SS+Warehouse/data=!4m7!3m6!1s0x3ba85593845d9749:0xd529b184b61691e9!8m2!3d11.0053226!4d77.1359856!16s%2Fg%2F11tmzxq8yq!19sChIJSZddhJNVqDsR6ZEWtoSxKdU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2694327 11.0019077)",ABV TEX,Warehouse,Sulur – Palladam Industrial Corridor,11.0019077,77.2694327,https://www.google.com/maps/place/ABV+TEX/data=!4m7!3m6!1s0x3ba9ab000055ebad:0x99b49b6e09a6b97a!8m2!3d11.0019077!4d77.2694327!16s%2Fg%2F11z0n21917!19sChIJretVAACrqTsRermmCW6btJk?authuser=0&hl=en&rclk=1,Warehousing / Storage
