WKT,Name,Latitude,Longitude,Google Maps Link,Category
"POINT (77.0921499 10.9752881)",Peedampalli Substation,10.9752881,77.0921499,https://www.google.com/maps/place/Peedampalli+Substation/data=!4m7!3m6!1s0x3ba856ad4bbfffff:0xc4e7f5a50b43b270!8m2!3d10.9752881!4d77.0921499!16s%2Fg%2F11kj902fkw!19sChIJ__-_S61WqDsRcLJDC6X158Q?authuser=0&hl=en&rclk=1,Electrical substation
"POINT (77.0417128 11.127706)",Kowsika river anaicut,11.127706,77.0417128,https://www.google.com/maps/place/Kowsika+river+anaicut/data=!4m7!3m6!1s0x3ba8f9f1ebaefd1b:0x6f9af6984b85e558!8m2!3d11.127706!4d77.0417128!16s%2Fg%2F11y1vfv4yv!19sChIJG_2u6_H5qDsRWOWFS5j2mm8?authuser=0&hl=en&rclk=1,River port
"POINT (77.1019705 11.1359337)",Kousika,11.1359337,77.1019705,https://www.google.com/maps/place/Kousika/data=!4m7!3m6!1s0x3ba8fe010e7a4ea9:0x72e93bcf654a142d!8m2!3d11.1359337!4d77.1019705!16s%2Fg%2F11c1v8dmxh!19sChIJqU56DgH-qDsRLRRKZc876XI?authuser=0&hl=en&rclk=1,River
"POINT (77.1588763 11.146774)",KOUSIKA RIVER,11.146774,77.1588763,https://www.google.com/maps/place/KOUSIKA+RIVER/data=!4m7!3m6!1s0x3ba8fe7a8a3a2cff:0x3183000f72d6f485!8m2!3d11.146774!4d77.1588763!16s%2Fg%2F11c1p3r8y2!19sChIJ_yw6inr-qDsRhfTWcg8AgzE?authuser=0&hl=en&rclk=1,River port
"POINT (77.0022394 11.3172336)",Elagampalayam River,11.3172336,77.0022394,https://www.google.com/maps/place/Elagampalayam+River/data=!4m7!3m6!1s0x3ba8efd694d2c655:0x1cdacae679696fbb!8m2!3d11.3172336!4d77.0022394!16s%2Fg%2F11rstlb7jy!19sChIJVcbSlNbvqDsRu29peebK2hw?authuser=0&hl=en&rclk=1,River port
"POINT (76.9853029 11.1243959)",கௌசிகா கூடுதுறை River Kowsika Origin,11.1243959,76.9853029,https://www.google.com/maps/place/%E0%AE%95%E0%AF%8C%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AE%BE+%E0%AE%95%E0%AF%82%E0%AE%9F%E0%AF%81%E0%AE%A4%E0%AF%81%E0%AE%B1%E0%AF%88+River+Kowsika+Origin/data=!4m7!3m6!1s0x3ba8f777243660ff:0xfdf1d2d3c379112!8m2!3d11.1243959!4d76.9853029!16s%2Fg%2F11j4910tk2!19sChIJ_2A2JHf3qDsREpE3PC0d3w8?authuser=0&hl=en&rclk=1,River port
"POINT (76.9846955 11.0431202)",River Store Ganapathy,11.0431202,76.9846955,https://www.google.com/maps/place/River+Store+Ganapathy/data=!4m7!3m6!1s0x3ba859b999c3a0a9:0xd963b24dcaf037d2!8m2!3d11.0431202!4d76.9846955!16s%2Fg%2F11y_qbb29g!19sChIJqaDDmblZqDsR0jfwyk2yY9k?authuser=0&hl=en&rclk=1,Electric motor scooter dealer
"POINT (76.9846925 11.0431178)",River Service Ganapathy,11.0431178,76.9846925,https://www.google.com/maps/place/River+Service+Ganapathy/data=!4m7!3m6!1s0x3ba8595fac1a6d6d:0x18b4b200001e19c2!8m2!3d11.0431178!4d76.9846925!16s%2Fg%2F11n3x2gymk!19sChIJbW0arF9ZqDsRwhkeAACytBg?authuser=0&hl=en&rclk=1,Scooter repair shop
"POINT (76.690357 10.8388057)",Malampuzha Dam,10.8388057,76.690357,https://www.google.com/maps/place/Malampuzha+Dam/data=!4m7!3m6!1s0x3ba86f75523b6f77:0x143d4024361d683c!8m2!3d10.8388057!4d76.690357!16s%2Fg%2F12xqhfhyp!19sChIJd287UnVvqDsRPGgdNiRAPRQ?authuser=0&hl=en&rclk=1,Reservoir
"POINT (77.0960163 11.0451022)",Achankulam,11.0451022,77.0960163,https://www.google.com/maps/place/Achankulam/data=!4m7!3m6!1s0x3ba8560c4f9a91fd:0x9cf1fd34f3cf4abe!8m2!3d11.0451022!4d77.0960163!16s%2Fg%2F1hhw4vqwc!19sChIJ_ZGaTwxWqDsRvkrP8zT98Zw?authuser=0&hl=en&rclk=1,Lake
