WKT,Name,Latitude,Longitude,Google Maps Link,Category
"POINT (77.03501703 11.08209644)",Electrical & Electronics Industrial Estate Kalapatti,11.08209644,77.03501703,https://maps.google.com/?q=11.082096435923038,77.03501703202498,SIDCO Industrial Estate
"POINT (76.97730664 10.94400371)",SIDCO Industrial Estate Kurichi,10.94400371,76.97730664,https://maps.google.com/?q=10.944003710565886,76.97730664156201,SIDCO Industrial Estate
"POINT (77.01422802 10.90759816)",SIDCO Industrial Estate Malumichampatti,10.90759816,77.01422802,https://maps.google.com/?q=10.90759815589209,77.01422802361168,SIDCO Industrial Estate
