Name,Latitude,Longitude,Address,Google Maps Link,Category
Arasur 400kV Substation,,,Arasur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Arasur+Substation+Coimbatore,400/230 kV Substation
Rasipalayam 400kV Substation,,,Rasipalayam, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Rasipalayam+Substation+Coimbatore,400/230 kV Substation
Coimbatore 230kV Substation,,,Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=230kV+Substation+Coimbatore,230 kV Substation
Palladam 230kV Substation,,,Palladam, Tiruppur, Tamil Nadu, India,https://maps.google.com/?q=Palladam+230kV+Substation,230 kV Substation
Udumalpet 230kV Substation,,,Udumalpet, Tiruppur, Tamil Nadu, India,https://maps.google.com/?q=Udumalpet+230kV+Substation,230 kV Substation
Aliyar 230kV Substation,,,Aliyar, Pollachi, Tamil Nadu, India,https://maps.google.com/?q=Aliyar+230kV+Substation,230 kV Substation
Neelambur 110kV Substation,,,Neelambur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Neelambur+110kV+Substation,110 kV Substation
Sulur 110kV Substation,,,Sulur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Sulur+110kV+Substation,110 kV Substation
Irugur 110kV Substation,,,Irugur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Irugur+110kV+Substation,110 kV Substation
Kalapatti 110kV Substation,,,Kalapatti, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Kalapatti+110kV+Substation,110 kV Substation
Saravanampatti 110kV Substation,,,Saravanampatti, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Saravanampatti+110kV+Substation,110 kV Substation
Singanallur 110kV Substation,,,Singanallur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Singanallur+110kV+Substation,110 kV Substation
Peedampalli 110kV Substation,,,Peedampalli, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Peedampalli+110kV+Substation,110 kV Substation
Annur 110kV Substation,,,Annur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Annur+110kV+Substation,110 kV Substation
Avinashi 110kV Substation,,,Avinashi, Tiruppur, Tamil Nadu, India,https://maps.google.com/?q=Avinashi+110kV+Substation,110 kV Substation
Mettupalayam 110kV Substation,,,Mettupalayam, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Mettupalayam+110kV+Substation,110 kV Substation
Pollachi 110kV Substation,,,Pollachi, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Pollachi+110kV+Substation,110 kV Substation
Kinathukadavu 110kV Substation,,,Kinathukadavu, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Kinathukadavu+110kV+Substation,110 kV Substation
Othakkalmandapam 110kV Substation,,,Othakkalmandapam, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Othakkalmandapam+110kV+Substation,110 kV Substation
Periyanaickenpalayam 110kV Substation,,,Periyanaickenpalayam, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Periyanaickenpalayam+110kV+Substation,110 kV Substation
Somanur 110kV Substation,,,Somanur, Tiruppur, Tamil Nadu, India,https://maps.google.com/?q=Somanur+110kV+Substation,110 kV Substation
Marudhur 110kV Substation,,,Marudhur, Coimbatore, Tamil Nadu, India,https://maps.google.com/?q=Marudhur+110kV+Substation,110 kV Substation
11.008544,76.927034,https://maps.google.com/?q=11.008544,,76.927034,Electrical substation
11.06283,77.029991,https://maps.google.com/?q=11.062830,,77.029991,Electrical substation
11.098828,77.10346,https://maps.google.com/?q=11.098828,,77.103460,Electrical substation
10.938411,76.997861,https://maps.google.com/?q=10.938411,,76.997861,Electrical substation
11.02007,76.993287,https://maps.google.com/?q=11.020070,,76.993287,Electrical substation
11.021036,76.980922,https://maps.google.com/?q=11.021036,,76.980922,Electrical substation
11.039513,77.020732,https://maps.google.com/?q=11.039513,,77.020732,Electrical substation
10.916101,77.097095,https://maps.google.com/?q=10.916101,,77.097095,Electrical substation
10.93701,76.976199,https://maps.google.com/?q=10.937010,,76.976199,Electrical substation
10.975288,77.09215,https://maps.google.com/?q=10.975288,,77.092150,Electrical substation
11.126889,77.192865,https://maps.google.com/?q=11.126889,,77.192865,Electrical substation
11.199817,77.074344,https://maps.google.com/?q=11.199817,,77.074344,Electrical substation
11.056237,76.887837,https://maps.google.com/?q=11.056237,,76.887837,Electrical substation
,,,,Electrical substation,
